Time,Temperature (°C),Pressure (kPa),Bottom Oil Temperature (°C),Top Oil Temperature (°C),BDV (kV),Health Index (%),Health Classification
4/22/2024,49,126,41,51,79,92,Good
4/22/2024,65,108,50,51,63,65,Need Maintenance
4/22/2024,48,128,41,53,77,95,Good
4/22/2024,50,126,41,45,79,94,Good
4/22/2024,62,120,51,57,61,79,Need_Maintenance
4/22/2024,64,116,53,58,60,63,Bad
4/22/2024,69,110,53,58,59,73,Bad
4/22/2024,48,121,41,50,75,89,Need Maintenance
4/22/2024,58,115,52,49,63,83,Need Maintenance
4/22/2024,60,121,51,58,56,83,Need_Maintenance
4/22/2024,58,117,50,58,64,78,Need Maintenance
4/22/2024,50,125,44,51,72,91,Good
4/22/2024,70,108,49,58,57,55,Bad
4/22/2024,59,122,51,51,60,82,Bad
4/22/2024,67,112,52,58,65,62,Bad
4/22/2024,62,116,52,48,68,72,Need Maintenance
4/22/2024,57,122,51,58,69,77,Need_Maintenance
4/22/2024,58,120,50,58,66,83,Need Maintenance
4/22/2024,61,122,49,58,66,72,Need_Maintenance
4/22/2024,52,119,44,49,76,95,Need_Maintenance
4/22/2024,50,120,47,47,67,79,Good
4/22/2024,63,123,45,50,79,74,Need Maintenance
4/22/2024,63,121,49,58,59,72,Need Maintenance
4/22/2024,61,114,53,58,61,81,Bad
4/22/2024,49,125,44,49,78,93,Good
4/22/2024,50,122,43,52,72,95,Need Maintenance
4/22/2024,61,121,50,56,61,92,Need Maintenance
4/22/2024,65,109,53,58,59,72,Bad
4/22/2024,48,126,41,48,78,91,Good
4/22/2024,68,116,53,58,63,60,Bad
4/22/2024,61,123,53,58,62,67,Bad
4/22/2024,63,113,41,51,74,75,Need Maintenance
4/22/2024,47,125,41,48,75,95,Good
4/22/2024,47,127,42,50,73,90,Good
4/22/2024,61,119,50,58,67,83,Bad
4/22/2024,64,116,50,55,65,87,Need Maintenance
4/22/2024,61,129,52,51,78,71,Bad
4/22/2024,49,129,43,51,78,95,Good
4/22/2024,51,117,51,58,70,85,Good
4/22/2024,49,128,44,51,76,95,Good
4/22/2024,49,126,46,50,73,92,Good
4/22/2024,51,129,41,50,79,93,Good
4/22/2024,61,119,46,51,77,84,Good
4/22/2024,68,114,53,58,56,60,Bad
4/22/2024,59,113,53,58,67,69,Need_Maintenance
4/22/2024,67,116,50,57,63,68,Bad
4/22/2024,53,121,53,51,60,70,Need Maintenance
4/22/2024,51,109,42,50,58,90,Good
4/22/2024,47,128,42,50,79,95,Good
4/22/2024,47,129,42,52,77,92,Good
4/22/2024,50,125,43,52,74,89,Good
4/22/2024,68,108,51,58,62,55,Bad
4/22/2024,62,115,51,56,65,84,Need Maintenance
4/22/2024,65,109,53,58,65,56,Bad
4/22/2024,69,112,53,52,61,65,Bad
4/22/2024,67,118,51,58,61,67,Bad
4/22/2024,61,120,51,58,76,90,Need Maintenance
4/22/2024,49,128,44,51,76,94,Good
4/22/2024,49,125,42,49,74,82,Good
4/22/2024,49,123,43,52,76,95,Good
4/22/2024,47,125,46,47,74,77,Good
4/22/2024,48,125,46,50,79,95,Good
4/22/2024,61,118,44,50,72,83,Need_Maintenance
4/22/2024,64,124,49,51,59,82,Need Maintenance
4/22/2024,57,118,46,58,75,85,Bad
4/22/2024,48,129,40,48,77,95,Good
4/22/2024,63,116,51,57,66,71,Bad
4/22/2024,60,120,45,51,76,91,Good
4/22/2024,60,120,49,57,63,81,Bad
4/22/2024,60,121,52,51,64,81,Need Maintenance
4/22/2024,49,117,43,52,78,91,Good
4/22/2024,70,116,53,58,55,75,Bad
4/22/2024,47,119,43,50,76,93,Good
4/22/2024,48,126,44,47,76,92,Good
4/22/2024,56,121,52,58,67,88,Need_Maintenance
4/22/2024,55,123,44,50,64,77,Good
4/22/2024,47,127,43,51,75,95,Good
4/22/2024,68,110,53,58,60,62,Bad
4/22/2024,48,127,44,49,77,92,Good
4/22/2024,70,118,51,58,62,76,Need_Maintenance
4/22/2024,63,117,53,58,63,65,Need_Maintenance
4/22/2024,69,110,49,58,56,58,Bad
4/22/2024,49,127,43,52,75,95,Good
4/22/2024,58,116,48,58,58,77,Need Maintenance
4/22/2024,64,118,44,50,73,79,Good
4/22/2024,64,120,49,55,62,86,Bad
4/22/2024,48,128,44,52,77,89,Good
4/22/2024,47,127,47,50,76,89,Good
4/22/2024,67,119,48,58,67,69,Good
4/22/2024,47,128,42,50,74,94,Good
4/22/2024,58,120,45,56,64,68,Need Maintenance
4/22/2024,60,121,45,51,78,88,Need Maintenance
4/22/2024,48,127,42,45,74,88,Good
4/22/2024,50,128,42,49,76,92,Good
4/22/2024,50,129,45,50,76,92,Good
4/22/2024,64,113,51,58,67,81,Good
4/22/2024,61,111,44,58,61,79,Need Maintenance
4/22/2024,62,123,51,57,65,64,Good
4/22/2024,58,118,47,58,65,76,Need Maintenance
4/22/2024,63,121,50,58,64,75,Need Maintenance
4/22/2024,55,122,48,58,61,88,Need Maintenance
4/22/2024,65,112,52,57,61,72,Good
4/22/2024,48,117,43,48,69,90,Need Maintenance
4/22/2024,59,120,49,58,66,61,Need Maintenance
4/22/2024,47,118,45,48,78,95,Good
4/22/2024,63,120,53,57,64,82,Need Maintenance
4/22/2024,53,118,47,52,74,70,Need_Maintenance
4/22/2024,47,124,42,49,74,95,Good
4/22/2024,50,129,44,49,76,94,Good
4/22/2024,65,116,50,56,63,71,Need Maintenance
4/22/2024,59,116,48,56,62,85,Need Maintenance
4/22/2024,68,114,51,57,63,77,Bad
4/22/2024,56,119,50,58,59,87,Need_Maintenance
4/22/2024,65,111,53,58,56,62,Bad
4/22/2024,66,115,52,58,63,56,Bad
4/22/2024,49,129,41,51,79,90,Good
4/22/2024,70,118,53,58,56,60,Bad
4/22/2024,49,129,40,52,76,95,Good
4/22/2024,57,120,53,51,61,83,Need Maintenance
4/22/2024,67,113,53,58,61,70,Bad
4/22/2024,48,127,42,51,77,95,Need Maintenance
4/22/2024,65,118,49,51,64,69,Good
4/22/2024,48,127,45,48,66,94,Good
4/22/2024,59,121,43,57,61,88,Need Maintenance
4/22/2024,70,108,53,58,55,55,Bad
4/22/2024,61,123,51,58,64,84,Need Maintenance
4/22/2024,60,115,51,58,65,77,Need Maintenance
4/22/2024,69,114,48,58,59,73,Bad
4/22/2024,55,119,53,58,66,83,Need_Maintenance
4/22/2024,47,129,41,49,75,93,Need Maintenance
4/22/2024,59,121,53,58,63,66,Need Maintenance
4/22/2024,51,121,41,49,76,94,Good
4/22/2024,65,114,52,58,57,76,Bad
4/22/2024,47,126,44,48,79,94,Good
4/22/2024,49,117,41,48,73,80,Good
4/22/2024,61,115,53,57,59,80,Bad
4/22/2024,53,112,46,58,60,61,Bad
4/22/2024,47,128,42,49,76,95,Good
4/22/2024,48,127,45,48,79,92,Good
4/22/2024,69,114,53,58,63,61,Bad
4/22/2024,49,114,43,50,74,74,Bad
4/22/2024,60,113,51,54,62,69,Bad
4/22/2024,62,128,49,50,64,76,Need Maintenance
4/22/2024,50,129,40,49,76,95,Good
4/22/2024,56,124,49,58,63,86,Need Maintenance
4/22/2024,70,108,51,58,57,65,Bad
4/22/2024,47,129,40,50,79,92,Good
4/22/2024,60,117,45,58,59,80,Need Maintenance
4/22/2024,52,126,43,48,77,95,Good
4/22/2024,47,128,42,50,79,93,Good
4/22/2024,59,118,51,58,63,72,Bad
4/22/2024,68,108,52,58,61,63,Bad
4/22/2024,47,129,42,52,79,81,Good
4/22/2024,51,126,41,49,74,94,Good
4/22/2024,47,125,44,48,75,95,Good
4/22/2024,47,121,43,47,74,95,Good
4/22/2024,65,122,50,51,57,74,Good
4/22/2024,61,113,53,58,55,62,Bad
4/22/2024,47,126,42,46,78,94,Good
4/22/2024,61,118,53,58,72,89,Bad
4/22/2024,50,126,43,51,78,90,Good
4/22/2024,47,122,40,50,79,94,Good
4/22/2024,51,128,45,52,72,70,Good
4/22/2024,58,118,53,58,63,80,Need Maintenance
4/22/2024,62,119,50,51,64,76,Bad
4/22/2024,51,118,43,50,72,81,Good
4/22/2024,49,126,44,52,74,95,Good
4/22/2024,50,112,53,50,61,78,Need Maintenance
4/22/2024,49,124,46,50,76,79,Good
4/22/2024,50,128,41,50,63,93,Good
4/22/2024,59,119,47,58,76,79,Good
4/22/2024,61,121,50,58,64,74,Need_Maintenance
4/22/2024,61,123,53,58,77,88,Need Maintenance
4/22/2024,63,113,49,56,60,82,Need Maintenance
4/22/2024,63,116,50,58,64,68,Bad
4/22/2024,66,108,49,58,60,55,Bad
4/22/2024,57,119,53,54,61,79,Need Maintenance
4/22/2024,57,118,49,58,60,78,Need Maintenance
4/22/2024,49,129,43,51,79,95,Good
4/22/2024,49,125,45,51,77,87,Good
4/22/2024,62,120,53,49,74,84,Good
4/22/2024,61,125,45,57,65,79,Good
4/22/2024,47,126,42,49,76,95,Good
4/22/2024,50,125,41,49,77,90,Good
4/22/2024,60,120,43,51,73,79,Bad
4/22/2024,50,114,44,51,76,95,Good
4/22/2024,47,127,44,49,74,93,Good
4/22/2024,66,108,53,58,60,65,Bad
4/22/2024,70,108,53,58,58,55,Bad
4/22/2024,47,123,48,58,65,87,Good
4/22/2024,47,126,45,49,76,94,Good
4/22/2024,61,120,51,58,62,69,Bad
4/22/2024,61,118,50,57,64,66,Bad
4/22/2024,63,111,53,58,59,67,Bad
4/22/2024,50,127,42,50,78,95,Good
4/22/2024,50,117,44,49,73,95,Good
4/22/2024,52,120,43,51,79,95,Good
4/22/2024,47,125,41,53,79,90,Good
4/22/2024,47,120,41,51,79,80,Good
4/22/2024,48,116,45,48,73,82,Good
4/22/2024,50,121,45,50,79,69,Good
4/22/2024,60,117,51,58,57,80,Need_Maintenance
4/22/2024,48,127,42,49,75,92,Good
4/22/2024,47,128,41,50,78,93,Good
4/22/2024,48,119,46,57,74,76,Good
4/22/2024,54,114,49,58,62,77,Need Maintenance
4/22/2024,49,125,43,52,71,92,Good
4/22/2024,50,120,44,48,75,72,Good
4/22/2024,70,108,52,58,57,68,Bad
4/22/2024,51,123,44,49,77,91,Good
4/22/2024,63,118,50,51,61,72,Need Maintenance
4/22/2024,60,127,50,57,65,71,Good
4/22/2024,62,120,45,48,74,71,Need Maintenance
4/22/2024,61,126,50,58,63,77,Bad
4/22/2024,60,122,51,58,62,74,Good
4/22/2024,49,129,42,50,70,95,Good
4/22/2024,64,119,43,50,78,76,Good
4/22/2024,60,114,53,58,55,68,Need Maintenance
4/22/2024,51,128,42,47,75,95,Good
4/22/2024,50,129,43,48,78,92,Good
4/22/2024,47,123,42,49,75,88,Good
4/22/2024,61,119,50,56,63,67,Need_Maintenance
4/22/2024,65,114,53,58,65,81,Bad
4/22/2024,64,110,51,58,61,80,Need Maintenance
4/22/2024,48,122,45,49,77,95,Good
4/22/2024,51,124,46,51,77,91,Good
4/22/2024,64,112,51,58,63,75,Bad
4/22/2024,49,128,40,48,78,94,Good
4/22/2024,63,118,47,58,61,70,Bad
4/22/2024,63,117,50,58,74,68,Need Maintenance
4/22/2024,59,118,52,58,62,73,Need_Maintenance
4/22/2024,65,114,51,58,61,67,Bad
4/22/2024,49,124,42,52,79,87,Need Maintenance
4/22/2024,62,124,49,58,63,76,Need Maintenance
4/22/2024,48,127,43,49,76,95,Good
4/22/2024,50,120,42,53,73,94,Good
4/22/2024,59,122,52,56,60,94,Need Maintenance
4/22/2024,61,117,50,56,65,73,Bad
4/22/2024,48,127,42,49,78,95,Good
4/22/2024,65,118,44,57,62,75,Need Maintenance
4/22/2024,65,114,51,58,60,63,Bad
4/22/2024,59,119,51,55,63,84,Need Maintenance
4/22/2024,66,113,51,58,66,70,Bad
4/22/2024,58,116,53,57,67,75,Need_Maintenance
4/22/2024,62,117,50,58,60,67,Bad
4/22/2024,48,128,40,47,77,95,Good
4/22/2024,59,118,53,58,66,87,Need Maintenance
4/22/2024,64,111,52,58,64,69,Bad
4/22/2024,62,126,45,50,77,94,Good
4/22/2024,59,115,46,49,68,66,Good
4/22/2024,47,129,41,48,78,92,Good
4/22/2024,61,122,42,49,79,87,Good
4/22/2024,70,108,51,58,55,66,Bad
4/22/2024,68,115,51,58,59,64,Bad
4/22/2024,49,128,40,48,77,91,Good
4/22/2024,47,129,42,48,70,94,Good
4/22/2024,55,114,49,56,60,68,Need Maintenance
4/22/2024,63,112,50,58,59,56,Bad
4/22/2024,48,126,40,49,73,95,Good
4/22/2024,64,114,52,58,63,62,Need_Maintenance
4/22/2024,47,118,46,58,71,77,Need Maintenance
4/22/2024,47,125,43,50,56,65,Need Maintenance
4/22/2024,58,122,45,58,73,95,Need Maintenance
4/22/2024,65,117,53,57,61,84,Need Maintenance
4/22/2024,48,127,42,48,76,95,Good
4/22/2024,58,118,47,58,68,85,Need_Maintenance
4/22/2024,62,121,45,57,67,80,Need Maintenance
4/22/2024,47,125,41,49,77,80,Good
4/22/2024,48,126,42,49,74,94,Good
4/22/2024,47,128,41,49,79,95,Good
4/22/2024,47,125,42,50,76,95,Good
4/22/2024,50,126,44,51,70,95,Good
4/22/2024,58,116,51,58,60,68,Need_Maintenance
4/22/2024,55,113,53,58,74,87,Bad
4/22/2024,47,128,40,45,76,94,Good
4/22/2024,49,128,44,48,74,85,Good
4/22/2024,55,115,52,56,65,77,Good
4/22/2024,57,120,44,58,71,92,Need Maintenance
4/22/2024,47,127,42,48,79,92,Good
4/22/2024,61,110,51,58,73,83,Need Maintenance
4/22/2024,63,113,52,58,59,68,Need_Maintenance
4/22/2024,62,116,45,56,78,68,Bad
4/22/2024,61,120,52,58,61,86,Need Maintenance
4/22/2024,50,126,46,49,74,94,Good
4/22/2024,70,108,51,58,57,55,Bad
4/22/2024,52,116,44,58,74,80,Good
4/22/2024,48,128,41,49,74,95,Good
4/22/2024,68,113,52,58,65,72,Need_Maintenance
4/22/2024,64,114,49,54,64,65,Need Maintenance
4/22/2024,48,128,43,49,75,91,Good
4/22/2024,48,126,42,51,78,87,Need_Maintenance
4/22/2024,53,111,45,53,72,85,Good
4/22/2024,55,117,50,58,57,79,Need_Maintenance
4/22/2024,48,126,42,51,75,94,Good
4/22/2024,47,127,40,47,74,95,Good
4/22/2024,52,115,43,51,76,93,Bad
4/22/2024,47,124,45,48,79,94,Good
4/22/2024,50,127,43,51,74,90,Good
4/22/2024,52,123,51,58,62,94,Need Maintenance
4/22/2024,48,125,43,49,73,92,Good
4/22/2024,58,117,45,58,62,78,Need Maintenance
4/22/2024,58,119,52,58,64,74,Need_Maintenance
4/22/2024,57,121,48,56,66,75,Good
4/22/2024,48,128,44,49,79,92,Good
4/22/2024,67,112,53,58,60,70,Bad
4/22/2024,48,125,45,49,71,88,Need Maintenance
4/22/2024,59,115,53,58,76,73,Bad
4/22/2024,69,109,51,58,58,60,Bad
4/22/2024,60,118,50,57,64,86,Need Maintenance
4/22/2024,64,113,51,58,57,72,Bad
4/22/2024,49,118,46,51,78,90,Good
4/22/2024,53,129,40,52,75,91,Good
4/22/2024,47,127,44,53,79,90,Good
4/22/2024,50,125,40,49,76,93,Good
4/22/2024,48,123,45,51,70,89,Need_Maintenance
4/22/2024,64,119,48,58,65,64,Bad
4/22/2024,47,129,44,49,77,93,Good
4/22/2024,48,123,44,50,78,78,Good
4/22/2024,47,128,44,52,75,76,Need_Maintenance
4/22/2024,48,118,42,50,74,80,Need_Maintenance
4/22/2024,51,127,42,49,75,92,Good
4/22/2024,59,123,44,57,69,81,Need Maintenance
4/22/2024,47,124,42,47,79,95,Good
4/22/2024,51,129,43,48,75,95,Good
4/22/2024,47,129,43,49,75,94,Good
4/22/2024,47,122,47,51,58,72,Good
4/22/2024,65,119,51,57,61,74,Bad
4/22/2024,47,118,46,52,75,81,Need Maintenance
4/22/2024,50,126,42,49,76,94,Good
4/22/2024,49,128,42,52,73,92,Need Maintenance
4/22/2024,47,127,51,48,78,89,Need Maintenance
4/22/2024,65,120,53,57,64,80,Need_Maintenance
4/22/2024,65,115,51,58,58,80,Bad
4/22/2024,49,117,45,49,75,93,Good
4/22/2024,59,119,44,58,75,70,Need_Maintenance
4/22/2024,62,114,52,58,60,67,Bad
4/22/2024,65,126,48,56,60,77,Need Maintenance
4/22/2024,47,116,43,50,76,93,Good
4/22/2024,51,128,45,51,77,90,Good
4/22/2024,47,125,43,50,74,95,Good
4/22/2024,47,126,40,46,77,88,Good
4/22/2024,50,126,40,51,77,92,Good
4/22/2024,58,118,49,57,58,83,Need Maintenance
4/22/2024,50,129,42,47,77,90,Good
4/22/2024,49,113,46,50,72,76,Good
4/22/2024,52,117,42,50,70,79,Bad
4/22/2024,63,119,44,57,62,78,Bad
4/22/2024,58,120,45,57,72,79,Need_Maintenance
4/22/2024,51,117,42,50,73,93,Good
4/22/2024,62,118,51,56,64,74,Need Maintenance
4/22/2024,47,127,42,49,77,86,Good
4/22/2024,65,114,45,51,64,68,Good
4/22/2024,51,127,43,48,74,90,Good
4/22/2024,52,127,43,50,75,83,Good
4/22/2024,60,121,43,49,73,73,Need Maintenance
4/22/2024,48,115,44,51,79,80,Good
4/22/2024,62,115,53,58,55,75,Need Maintenance
4/22/2024,59,122,50,58,63,82,Need Maintenance
4/22/2024,47,129,43,50,72,78,Good
4/22/2024,49,126,44,50,75,95,Good
4/22/2024,52,114,43,54,74,92,Bad
4/22/2024,48,125,43,48,75,93,Good
4/22/2024,60,117,51,58,64,78,Bad
4/22/2024,70,109,51,58,55,60,Bad
4/22/2024,47,128,42,47,79,90,Good
4/22/2024,51,126,42,49,74,82,Good
4/22/2024,58,118,49,57,60,82,Need Maintenance
4/22/2024,49,129,41,50,77,93,Good
4/22/2024,47,113,45,50,77,90,Good
4/22/2024,49,115,45,57,70,70,Need Maintenance
4/22/2024,60,124,45,53,70,83,Need Maintenance
4/22/2024,47,126,40,49,76,91,Good
4/22/2024,51,126,40,50,75,91,Good
4/22/2024,60,119,51,58,62,85,Bad
4/22/2024,61,125,51,52,61,87,Need Maintenance
4/22/2024,49,122,45,51,75,82,Good
4/22/2024,61,116,51,58,64,74,Need_Maintenance
4/22/2024,63,117,44,58,66,68,Need_Maintenance
4/22/2024,63,115,52,56,62,58,Bad
4/22/2024,70,110,51,58,62,62,Bad
4/22/2024,47,127,40,49,72,90,Good
4/22/2024,47,122,43,51,77,92,Good
4/22/2024,62,117,51,58,65,79,Need_Maintenance
4/22/2024,50,117,45,49,79,75,Good
4/22/2024,51,129,44,49,77,95,Need_Maintenance
4/22/2024,48,125,40,49,79,95,Good
4/22/2024,49,119,44,49,72,85,Need Maintenance
4/22/2024,58,118,49,56,66,87,Need Maintenance
4/22/2024,47,115,42,52,77,94,Good
4/22/2024,47,118,42,47,77,95,Good
4/22/2024,48,128,43,52,79,92,Good
4/22/2024,64,120,53,57,75,74,Need_Maintenance
4/22/2024,49,127,42,53,78,89,Good
4/22/2024,51,116,42,56,68,76,Good
4/22/2024,47,125,46,51,79,92,Good
4/22/2024,47,125,43,51,74,95,Need Maintenance
4/22/2024,62,118,45,50,67,74,Need Maintenance
4/22/2024,63,118,51,58,63,55,Need_Maintenance
4/22/2024,54,114,52,58,67,83,Need_Maintenance
4/22/2024,51,118,44,52,75,91,Good
4/22/2024,47,118,44,50,74,89,Good
4/22/2024,65,117,51,58,56,75,Need Maintenance
4/22/2024,47,126,41,49,74,91,Need Maintenance
4/22/2024,51,115,45,49,72,94,Good
4/22/2024,49,126,41,48,72,93,Good
4/22/2024,50,116,43,51,76,82,Good
4/22/2024,60,120,53,58,62,79,Need Maintenance
4/22/2024,57,114,51,56,72,73,Need Maintenance
4/22/2024,60,116,50,58,64,83,Need_Maintenance
4/22/2024,47,123,43,51,79,83,Good
4/22/2024,47,127,42,47,77,91,Good
4/22/2024,47,126,41,49,79,93,Good
4/22/2024,49,122,41,50,79,90,Good
4/22/2024,70,113,49,57,61,65,Bad
4/22/2024,62,112,53,58,66,71,Need_Maintenance
4/22/2024,47,127,40,49,79,94,Good
4/22/2024,50,128,41,51,76,95,Good
4/22/2024,62,111,43,51,78,87,Need_Maintenance
4/22/2024,67,108,48,53,72,82,Bad
4/22/2024,70,108,51,58,55,57,Bad
4/22/2024,60,109,52,58,61,62,Bad
4/22/2024,67,108,52,58,55,67,Bad
4/22/2024,59,117,46,51,72,95,Need_Maintenance
4/22/2024,49,121,42,52,75,95,Good
4/22/2024,62,120,52,57,60,58,Bad
4/22/2024,61,114,45,52,75,74,Need Maintenance
4/22/2024,67,116,52,57,68,75,Bad
4/22/2024,63,125,45,55,74,79,Good
4/22/2024,47,121,42,50,77,91,Good
4/22/2024,47,128,43,49,77,95,Good
4/22/2024,68,108,53,58,63,56,Bad
4/22/2024,62,115,52,56,60,62,Bad
4/22/2024,63,120,51,50,62,80,Need Maintenance
4/22/2024,49,127,42,48,79,95,Good
4/22/2024,48,116,41,49,73,88,Good
4/22/2024,47,129,43,48,77,95,Good
4/22/2024,70,109,53,58,56,55,Bad
4/22/2024,48,128,41,48,77,92,Good
4/22/2024,68,109,53,54,55,70,Bad
4/22/2024,62,115,51,56,63,71,Need Maintenance
4/22/2024,62,117,53,58,65,78,Need_Maintenance
4/22/2024,47,125,45,50,64,95,Need_Maintenance
4/22/2024,62,121,43,50,62,95,Good
4/22/2024,49,127,41,50,72,68,Good
4/22/2024,61,117,46,50,74,91,Good
4/22/2024,57,119,42,51,65,80,Good
4/22/2024,51,125,41,51,79,95,Good
4/22/2024,47,127,49,51,76,90,Good
4/22/2024,55,117,51,55,67,75,Need Maintenance
4/22/2024,61,112,53,58,61,77,Need Maintenance
4/22/2024,61,118,51,58,61,86,Need Maintenance
4/22/2024,48,129,44,49,78,89,Good
4/22/2024,53,128,45,50,78,93,Good
4/22/2024,47,124,43,49,77,95,Good
4/22/2024,60,120,51,58,59,73,Need Maintenance
4/22/2024,48,123,40,54,76,92,Good
4/22/2024,47,125,41,51,78,91,Good
4/22/2024,49,119,44,49,62,80,Good
4/22/2024,60,124,45,49,69,81,Need Maintenance
4/22/2024,59,120,50,57,65,85,Need Maintenance
